VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
VEH001,D1,132,D1 - C23 - C37 - C54 - C52 - C86 - C73 - C84 - C39 - C30 - C11 - C1 - D1,11,12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12,89.0,222.6,1843248
VEH002,D1,132,D1 - C2 - C47 - C81 - C10 - C90 - C50 - C59 - C56 - C38 - C44 - C78 - D1,11,12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12,91.5,228.9,1895062
VEH003,D1,106,D1 - C64 - C46 - C60 - C51 - C22 - C18 - C48 - C87 - C26 - D1,9,12 - 12 - 12 - 12 - 12 - 12 - 12 - 10 - 12,79.6,199.0,1647616
VEH004,D1,155,D1 - C43 - C15 - C25 - C53 - C27 - C70 - C8 - C36 - C55 - C77 - C5 - C31 - C6 - D1,13,12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 11 - 12,147.9,369.9,3062525
VEH005,D1,109,D1 - C34 - C79 - C88 - C68 - C83 - C80 - C89 - C76 - C65 - C13 - D1,10,12 - 12 - 12 - 12 - 12 - 5 - 12 - 12 - 12 - 8,99.9,249.7,2067582
VEH006,D1,108,D1 - C40 - C41 - C82 - C12 - C20 - C14 - C24 - C35 - C75 - D1,9,12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12,75.4,188.4,1559937
VEH007,D1,120,D1 - C29 - C58 - C66 - C4 - C63 - C72 - C69 - C67 - C9 - C21 - D1,10,12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12,74.3,185.8,1538341
VEH008,D1,69,D1 - C61 - C49 - C62 - C28 - C85 - C57 - D1,6,12 - 12 - 12 - 12 - 12 - 9,66.5,166.2,1376129
VEH009,D1,96,D1 - C17 - C3 - C45 - C16 - C19 - C33 - C42 - C32 - D1,8,12 - 12 - 12 - 12 - 12 - 12 - 12 - 12,70.9,177.3,1468362
VEH010,D1,36,D1 - C74 - C7 - C71 - D1,3,12 - 12 - 12,46.9,117.2,970128
